Neurons Pruned,Accuracy,ASR
0.0,98.62,100.0
0.019,98.62,100.0
0.038,98.62,100.0
0.058,98.62,100.0
0.077,98.62,100.0
0.096,98.62,100.0
0.115,98.62,100.0
0.135,98.62,100.0
0.154,98.62,100.0
0.173,98.62,100.0
0.192,98.62,100.0
0.212,98.62,100.0
0.231,98.62,100.0
0.25,98.62,100.0
0.269,98.62,100.0
0.288,98.62,100.0
0.308,98.62,100.0
0.327,98.62,100.0
0.346,98.62,100.0
0.365,98.62,100.0
0.385,98.62,100.0
0.404,98.62,100.0
0.423,98.62,100.0
0.442,98.62,100.0
0.462,98.62,100.0
0.481,98.62,100.0
0.5,98.62,100.0
0.519,98.62,100.0
0.538,98.62,100.0
0.558,98.62,100.0
0.577,98.62,100.0
0.596,98.62,100.0
0.615,98.62,100.0
0.635,98.62,100.0
0.654,98.613,100.0
0.673,98.605,100.0
0.692,98.597,100.0
0.712,98.597,100.0
0.731,98.574,100.0
0.75,98.527,100.0
0.769,98.441,100.0
0.788,98.41,100.0
0.808,98.114,100.0
0.827,97.747,100.0
0.846,97.506,100.0
0.865,95.744,100.0
0.885,95.347,99.977
0.904,94.903,99.984
0.923,92.128,99.984
0.942,91.582,99.984
0.962,91.13,99.977
0.981,89.68,80.647
1.0,84.334,77.21
